target		A:N	error	MCC	ACC	BACC	Sensitivity	Specificity	PPV	NPV	F1	AUC A	AUC N
Q13315_WT	Fold 2	2:174		0.0	0.9886363636363636	0.5	1.0	0.0	0.9886363636363636	0.0	0.9942857142857142	0.011494252873563218	0.9885057471264368
Q13315_WT	Fold 3	2:174		0.7050835816716038	0.9943181818181818	0.75	1.0	0.5	0.9942857142857143	1.0	0.9971346704871061	0.008620689655172414	0.9913793103448276
Q13315_WT	Fold 4	1:175		0.0	0.9943181818181818	0.5	1.0	0.0	0.9943181818181818	0.0	0.9971509971509972	0.06857142857142857	0.9314285714285714
Q13315_WT	Fold 5	1:175		0.0	0.9943181818181818	0.5	1.0	0.0	0.9943181818181818	0.0	0.9971509971509972	0.6599999999999999	0.33999999999999997
Q13315_WT	Mean	-		0.23987385919146362	0.992058294812532	0.5994285714285714	0.9988571428571429	0.2	0.9931688311688311	0.3	0.9960016186721058	0.15088013136288997	0.8491198686371101
Q13315_WT	SD	-		0.2750042068989628	0.002526698454934668	0.11116758202154531	0.002086562123829189	0.22360679774997896	0.002068821385747402	0.3651483716701107	0.0012789711957551617	0.2333513294785313	0.23335132947853135
Q13315_WT	Test set	55:49		0.0	0.47115384615384615	0.5	1.0	0.0	0.47115384615384615	0.0	0.6405228758169934	0.27402597402597406	0.7259740259740259
P78527_WT	Fold 1	5:40		0.472455591261534	0.9111111111111111	0.6875	0.975	0.4	0.9285714285714286	0.6666666666666666	0.951219512195122	0.15	0.85
P78527_WT	Fold 2	5:39		0.2656574308651474	0.8863636363636364	0.5871794871794872	0.9743589743589743	0.2	0.9047619047619048	0.5	0.9382716049382716	0.13846153846153844	0.8615384615384615
P78527_WT	Fold 3	4:40		-0.04822428221704121	0.8863636363636364	0.4875	0.975	0.0	0.9069767441860465	0.0	0.9397590361445783	0.35625	0.64375
P78527_WT	Fold 4	4:40		0.0	0.9090909090909091	0.5	1.0	0.0	0.9090909090909091	0.0	0.9523809523809523	0.15	0.85
P78527_WT	Fold 5	4:40		0.48224282217041214	0.9318181818181818	0.625	1.0	0.25	0.9302325581395349	1.0	0.963855421686747	0.1625	0.8375
P78527_WT	Mean	-		0.23442631241601047	0.904949494949495	0.5774358974358975	0.9848717948717948	0.17	0.9159267089499649	0.4333333333333333	0.9490973054691342	0.1914423076923077	0.8085576923076923
P78527_WT	SD	-		0.20570747736107542	0.01564135244370088	0.06898812932474234	0.011277922710015322	0.14023789311975088	0.010132695732843618	0.35486043161491804	0.008539000318965397	0.07554372272659395	0.0755437227265939
P78527_WT	Test set	150:37		0.6808573263968846	0.8823529411764706	0.8757657657657658	0.8648648648648649	0.8866666666666667	0.6530612244897959	0.9637681159420289	0.7441860465116279	0.08018018018018017	0.91981981981982
Q13418_WT		0:8	Only one activity class in traing set for temporal split at 2013										
Q99759_WT		1:6	Not enough data in minority class of the training set for all 5 folds										
Q99759_WT	Fold 1	3:39		-0.043314808182421	0.9047619047619048	0.48717948717948717	0.9743589743589743	0.0	0.926829268292683	0.0	0.9500000000000001	0.1111111111111111	0.888888888888889
Q99759_WT	Fold 2	3:38		0.0	0.926829268292683	0.5	1.0	0.0	0.926829268292683	0.0	0.9620253164556963	0.4298245614035088	0.5701754385964912
Q99759_WT	Fold 3	3:38		0.37116611173587033	0.926829268292683	0.6535087719298246	0.9736842105263158	0.3333333333333333	0.9487179487179487	0.5	0.9610389610389611	0.26315789473684215	0.736842105263158
Q99759_WT	Fold 4	3:38		0.0	0.926829268292683	0.5	1.0	0.0	0.926829268292683	0.0	0.9620253164556963	0.3421052631578948	0.6578947368421053
Q99759_WT	Fold 5	3:38		0.37116611173587033	0.926829268292683	0.6535087719298246	0.9736842105263158	0.3333333333333333	0.9487179487179487	0.5	0.9610389610389611	0.17543859649122806	0.8245614035087719
Q99759_WT	Mean	-		0.13980348305786391	0.9224157955865273	0.5588394062078272	0.9843454790823213	0.13333333333333333	0.9355847404627893	0.2	0.959225710997863	0.264327485380117	0.735672514619883
Q99759_WT	SD	-		0.17305089243465194	0.008057861860316049	0.0706916697748495	0.011670358616026997	0.14907119849998596	0.009788915473732625	0.223606797749979	0.004230151224212405	0.10393629839366024	0.10393629839366023
Q99759_WT	Test set	1:6		-0.16666666666666666	0.7142857142857143	0.4166666666666667	0.8333333333333334	0.0	0.8333333333333334	0.0	0.8333333333333334	0.16666666666666666	0.8333333333333334
Q99755_WT		0:1	Only one activity class in traing set for temporal split at 2013										
Q99683_WT	Fold 1	3:10		0.778498944161523	0.9230769230769231	0.8333333333333333	1.0	0.6666666666666666	0.9090909090909091	1.0	0.9523809523809523	0.0	1.0
Q99683_WT	Fold 2	3:10		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q99683_WT	Fold 3	3:10		0.8215838362577492	0.9230769230769231	0.95	0.9	1.0	1.0	0.75	0.9473684210526316	0.01666666666666667	0.9833333333333334
Q99683_WT	Fold 4	2:10		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q99683_WT	Fold 5	3:9		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q99683_WT	Mean	-		0.9200165560838546	0.9692307692307693	0.9566666666666667	0.9800000000000001	0.9333333333333332	0.9818181818181818	0.95	0.9799498746867169	0.003333333333333334	0.9966666666666667
Q99683_WT	SD	-		0.09028500126324578	0.03440104580768905	0.05900408021045226	0.036514837167011066	0.12171612389003694	0.03319530651546462	0.09128709291752768	0.022463374535921055	0.006085806194501847	0.0060858061945018235
Q99683_WT	Test set	42:80		0.10774031986189252	0.6639344262295082	0.5175595238095239	0.9875	0.047619047619047616	0.6638655462184874	0.6666666666666666	0.7939698492462312	0.4092261904761905	0.5907738095238095
Q99640_WT		4:42	Not enough data in minority class of the training set for all 5 folds										
Q92918_WT	Fold 1	3:9		-0.17407765595569785	0.6666666666666666	0.4444444444444444	0.8888888888888888	0.0	0.7272727272727273	0.0	0.7999999999999999	0.33333333333333337	0.6666666666666667
Q92918_WT	Fold 2	4:8		-0.408248290463863	0.4166666666666667	0.3125	0.625	0.0	0.5555555555555556	0.0	0.5882352941176471	0.5	0.5
Q92918_WT	Fold 3	4:8		0.0	0.6666666666666666	0.5	1.0	0.0	0.6666666666666666	0.0	0.8	0.875	0.125
Q92918_WT	Fold 4	4:8		0.42640143271122083	0.75	0.625	1.0	0.25	0.7272727272727273	1.0	0.8421052631578948	0.25	0.75
Q92918_WT	Fold 5	4:8		-0.125	0.5	0.4375	0.625	0.25	0.625	0.25	0.625	0.59375	0.40625
Q92918_WT	Mean	-		-0.05618490274166802	0.6	0.4638888888888889	0.8277777777777778	0.1	0.6603535353535352	0.25	0.7310681114551084	0.5104166666666667	0.48958333333333337
Q92918_WT	SD	-		0.2512068079980534	0.11180339887498948	0.09242461615166109	0.15561341516535093	0.1118033988749895	0.05948207174286997	0.3535533905932738	0.09441408577044018	0.19964522932590348	0.19964522932590348
Q92918_WT	Test set	8:9		0.181848241863327	0.5882352941176471	0.5694444444444444	0.8888888888888888	0.25	0.5714285714285714	0.6666666666666666	0.6956521739130435	0.5138888888888888	0.4861111111111111
Q92630_WT	Fold 1	5:14		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q92630_WT	Fold 2	5:14		0.5739440431835514	0.8421052631578947	0.7	1.0	0.4	0.8235294117647058	1.0	0.9032258064516129	0.04285714285714285	0.9571428571428572
Q92630_WT	Fold 3	5:14		0.724568837309472	0.8947368421052632	0.8	1.0	0.6	0.875	1.0	0.9333333333333333	0.21428571428571425	0.7857142857142857
Q92630_WT	Fold 4	5:13		0.7211102550927979	0.8888888888888888	0.8	1.0	0.6	0.8666666666666667	1.0	0.9285714285714286	0.06153846153846153	0.9384615384615385
Q92630_WT	Fold 5	5:13		0.5635445125120265	0.8333333333333334	0.7615384615384615	0.9230769230769231	0.6	0.8571428571428571	0.75	0.888888888888889	0.38461538461538464	0.6153846153846154
Q92630_WT	Mean	-		0.7166335296195696	0.891812865497076	0.8123076923076923	0.9846153846153847	0.64	0.8844677871148459	0.95	0.930803891449053	0.14065934065934066	0.8593406593406595
Q92630_WT	SD	-		0.1438611039702808	0.05417911153874189	0.09194372689415725	0.028088336282316193	0.17888543819998315	0.055097411440241974	0.09128709291752768	0.03492110540700984	0.12945129573097822	0.1294512957309782
Q92630_WT	Test set	37:98		0.12340461020568362	0.674074074074074	0.5568119139547711	0.8163265306122449	0.2972972972972973	0.7547169811320755	0.3793103448275862	0.7843137254901962	0.3808604522890237	0.6191395477109762
Q16832_WT	Fold 1	4:9		0.17766726362967536	0.6923076923076923	0.5694444444444444	0.8888888888888888	0.25	0.7272727272727273	0.5	0.7999999999999999	0.3888888888888889	0.6111111111111112
Q16832_WT	Fold 2	4:9		0.0	0.6923076923076923	0.5	1.0	0.0	0.6923076923076923	0.0	0.8181818181818181	0.3888888888888889	0.611111111111111
Q16832_WT	Fold 3	4:9		0.2777777777777778	0.6923076923076923	0.6388888888888888	0.7777777777777778	0.5	0.7777777777777778	0.5	0.7777777777777778	0.3055555555555555	0.6944444444444444
Q16832_WT	Fold 4	4:9		0.17766726362967536	0.6923076923076923	0.5694444444444444	0.8888888888888888	0.25	0.7272727272727273	0.5	0.7999999999999999	0.33333333333333337	0.6666666666666667
Q16832_WT	Fold 5	4:9		0.03042903097250923	0.6153846153846154	0.5138888888888888	0.7777777777777778	0.25	0.7	0.3333333333333333	0.7368421052631577	0.4722222222222222	0.5277777777777777
Q16832_WT	Mean	-		0.13270826720192755	0.676923076923077	0.5583333333333333	0.8666666666666666	0.25	0.7249261849261849	0.36666666666666664	0.7865603402445507	0.37777777777777777	0.6222222222222222
Q16832_WT	SD	-		0.09412784919610541	0.028088336282316193	0.04493365021685528	0.07590333900710813	0.14433756729740643	0.027354415075071532	0.17743021580745902	0.025528425557827847	0.052214341406932166	0.0522143414069322
Q16832_WT	Test set	86:93		-0.006247658347908003	0.4972067039106145	0.49687421855463865	0.5053763440860215	0.4883720930232558	0.5164835164835165	0.4772727272727273	0.5108695652173914	0.5051262815703925	0.4948737184296074
Q16816_WT	Fold 1	2:10		-0.13483997249264842	0.75	0.45	0.9	0.0	0.8181818181818182	0.0	0.8571428571428572	0.2	0.8
Q16816_WT	Fold 2	2:10		-0.13483997249264842	0.75	0.45	0.9	0.0	0.8181818181818182	0.0	0.8571428571428572	0.25	0.75
Q16816_WT	Fold 3	1:10		0.0	0.9090909090909091	0.5	1.0	0.0	0.9090909090909091	0.0	0.9523809523809523	0.0	1.0
Q16816_WT	Fold 4	1:10		0.6708203932499369	0.9090909090909091	0.95	0.9	1.0	1.0	0.5	0.9473684210526316	0.0	1.0
Q16816_WT	Fold 5	2:9		-0.14907119849998599	0.7272727272727273	0.4444444444444444	0.8888888888888888	0.0	0.8	0.0	0.8421052631578948	0.7222222222222222	0.2777777777777778
Q16816_WT	Mean	-		0.050413849952930814	0.8090909090909092	0.5588888888888889	0.9177777777777777	0.2	0.8690909090909091	0.1	0.8912280701754387	0.23444444444444446	0.7655555555555555
Q16816_WT	SD	-		0.28748277549865936	0.07491960797015826	0.1794653697236354	0.0377341796354075	0.36514837167011077	0.06915467551804076	0.18257418583505539	0.04402284948919812	0.24127575876898058	0.2412757587689806
Q16816_WT	Test set	7:39		-0.06315539556208946	0.8260869565217391	0.48717948717948717	0.9743589743589743	0.0	0.8444444444444444	0.0	0.9047619047619048	0.3186813186813187	0.6813186813186813
Q16659_WT		2:46	Not enough data in minority class for all 5 folds										
Q16644_WT		5:754	Not enough data in minority class of the training set for all 5 folds										
Q16620_WT	Fold 1	23:177		0.4206864365766496	0.905	0.6436993367722919	0.9830508474576272	0.30434782608695654	0.9157894736842105	0.7	0.9482288828337875	0.15303365266519284	0.8469663473348071
Q16620_WT	Fold 2	22:177		0.5440335042697481	0.9195979899497487	0.7358757062146892	0.9717514124293786	0.5	0.9398907103825137	0.6875	0.9555555555555556	0.10529019003595272	0.8947098099640473
Q16620_WT	Fold 3	22:177		0.4904676617174333	0.914572864321608	0.693246019517206	0.9774011299435028	0.4090909090909091	0.9301075268817204	0.6923076923076923	0.953168044077135	0.08294812532100666	0.9170518746789933
Q16620_WT	Fold 4	23:176		0.5404993890896451	0.9195979899497487	0.7088685770750988	0.9829545454545454	0.43478260869565216	0.9301075268817204	0.7692307692307693	0.9558011049723756	0.1331521739130435	0.8668478260869565
Q16620_WT	Fold 5	23:176		0.5026676711066945	0.914572864321608	0.6871294466403162	0.9829545454545454	0.391304347826087	0.9251336898395722	0.75	0.953168044077135	0.10918972332015811	0.8908102766798419
Q16620_WT	Mean	-		0.49967093255203404	0.9146683417085427	0.6937638172439204	0.9796224961479199	0.407905138339921	0.9282057855339474	0.7198076923076923	0.9531843263031977	0.11672277305107075	0.8832772269489293
Q16620_WT	SD	-		0.04075788650302016	0.004866517009457397	0.027544812442423638	0.004099738296215818	0.05803012317743314	0.0071574353056759205	0.030404488794518764	0.002484190309772103	0.022047610652746283	0.02204761065274628
Q16620_WT	Test set	52:65		0.1833554225478525	0.5982905982905983	0.5538461538461539	0.9538461538461539	0.15384615384615385	0.5849056603773585	0.7272727272727273	0.7251461988304093	0.513905325443787	0.486094674556213
Q16584_WT	Fold 1	6:11		0.8740073734751262	0.9411764705882353	0.9166666666666667	1.0	0.8333333333333334	0.9166666666666666	1.0	0.9565217391304348	0.16666666666666663	0.8333333333333334
Q16584_WT	Fold 2	5:11		0.8703882797784892	0.9375	0.9545454545454546	0.9090909090909091	1.0	1.0	0.8333333333333334	0.9523809523809523	0.09090909090909091	0.9090909090909091
Q16584_WT	Fold 3	5:11		0.8703882797784892	0.9375	0.9545454545454546	0.9090909090909091	1.0	1.0	0.8333333333333334	0.9523809523809523	0.0	1.0
Q16584_WT	Fold 4	6:10		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
Q16584_WT	Fold 5	6:10		0.7333333333333333	0.875	0.8666666666666667	0.9	0.8333333333333334	0.9	0.8333333333333334	0.9	0.06666666666666668	0.9333333333333333
Q16584_WT	Mean	-		0.8696234532730877	0.9382352941176471	0.9384848484848487	0.9436363636363637	0.9333333333333333	0.9633333333333333	0.9	0.952256728778468	0.06484848484848485	0.9351515151515152
Q16584_WT	SD	-		0.07702102462437553	0.036109355086987566	0.0406896471220888	0.042120122070046194	0.07453559924999298	0.041275945824459356	0.07453559924999298	0.02894940075910709	0.05695035132525337	0.05695035132525337
Q16584_WT	Test set	16:26		-0.1369780776730122	0.5476190476190477	0.4543269230769231	0.8461538461538461	0.0625	0.5945945945945946	0.2	0.6984126984126985	0.4807692307692307	0.5192307692307693
Q16566_WT		0:16	Only one activity class in traing set for temporal split at 2013										
Q16513_WT	Fold 1	19:134		0.4617200032255541	0.9019607843137255	0.6730164964650432	0.9776119402985075	0.3684210526315789	0.916083916083916	0.7	0.9458483754512635	0.15318146111547526	0.8468185388845249
Q16513_WT	Fold 2	20:133		0.7545487073178603	0.9477124183006536	0.8424812030075188	0.9849624060150376	0.7	0.9562043795620438	0.875	0.9703703703703703	0.13684210526315793	0.8631578947368421
Q16513_WT	Fold 3	20:133		0.3010060757147559	0.8823529411764706	0.5712406015037593	0.9924812030075187	0.15	0.8859060402684564	0.75	0.9361702127659575	0.14172932330827068	0.8582706766917293
Q16513_WT	Fold 4	20:133		0.6839074842018296	0.934640522875817	0.7924812030075188	0.9849624060150376	0.6	0.9424460431654677	0.8571428571428571	0.9632352941176471	0.11315789473684212	0.8868421052631579
Q16513_WT	Fold 5	20:133		0.2896940736209102	0.869281045751634	0.606203007518797	0.9624060150375939	0.25	0.8951048951048951	0.5	0.927536231884058	0.17030075187969926	0.8296992481203007
Q16513_WT	Mean	-		0.498175268816182	0.9071895424836601	0.6970845023005274	0.980484794074739	0.41368421052631577	0.9191490548369557	0.7364285714285714	0.9486320969178592	0.14304230726068906	0.856957692739311
Q16513_WT	SD	-		0.17506802565899637	0.027315778681755946	0.09566968646395012	0.009301499744233097	0.18932377110312676	0.024523667024795442	0.12327724409462042	0.014684964444942796	0.01721951309563092	0.01721951309563092
Q16513_WT	Test set	11:14		0.16862291518235775	0.6	0.5551948051948052	0.9285714285714286	0.18181818181818182	0.5909090909090909	0.6666666666666666	0.7222222222222223	0.22727272727272727	0.7727272727272728
Q16512_WT	Fold 1	2:10		0.4	0.8333333333333334	0.7	0.9	0.5	0.9	0.5	0.9	0.1	0.9
Q16512_WT	Fold 2	2:10		0.674199862463242	0.9166666666666666	0.75	1.0	0.5	0.9090909090909091	1.0	0.9523809523809523	0.35	0.65
Q16512_WT	Fold 3	1:10		0.0	0.9090909090909091	0.5	1.0	0.0	0.9090909090909091	0.0	0.9523809523809523	0.85	0.15
Q16512_WT	Fold 4	1:10		0.0	0.9090909090909091	0.5	1.0	0.0	0.9090909090909091	0.0	0.9523809523809523	0.6	0.4
Q16512_WT	Fold 5	2:9		0.6708203932499369	0.9090909090909091	0.75	1.0	0.5	0.9	1.0	0.9473684210526316	0.16666666666666666	0.8333333333333333
Q16512_WT	Mean	-		0.3490040511426358	0.8954545454545455	0.64	0.9800000000000001	0.3	0.9054545454545455	0.5	0.9409022556390978	0.4133333333333333	0.5866666666666667
Q16512_WT	SD	-		0.27553775179201756	0.028480549858326612	0.10567244989431572	0.03651483716701106	0.223606797749979	0.004065578140908685	0.408248290463863	0.018753165280362995	0.2544784062730259	0.2544784062730259
Q16512_WT	Test set	14:31		0.20526320231631415	0.7111111111111111	0.5552995391705069	0.967741935483871	0.14285714285714285	0.7142857142857143	0.6666666666666666	0.821917808219178	0.46543778801843316	0.5345622119815668
Q16288_WT	Fold 1	23:126		0.3926943098041742	0.87248322147651	0.6224982746721877	0.9841269841269841	0.2608695652173913	0.8794326241134752	0.75	0.9288389513108614	0.2256728778467909	0.7743271221532091
Q16288_WT	Fold 2	23:126		0.3102838138030165	0.8590604026845637	0.5967908902691511	0.9761904761904762	0.21739130434782608	0.8723404255319149	0.625	0.9213483146067415	0.17805383022774326	0.8219461697722567
Q16288_WT	Fold 3	23:126		0.2815449957832805	0.8523489932885906	0.5928226363008972	0.9682539682539683	0.21739130434782608	0.8714285714285714	0.5555555555555556	0.9172932330827068	0.248792270531401	0.751207729468599
Q16288_WT	Fold 4	22:126		0.5139425579150974	0.8918918918918919	0.7113997113997114	0.9682539682539683	0.45454545454545453	0.9104477611940298	0.7142857142857143	0.9384615384615386	0.21320346320346323	0.7867965367965368
Q16288_WT	Fold 5	23:125		0.39399053234356485	0.8648648648648649	0.6539130434782608	0.96	0.34782608695652173	0.8888888888888888	0.6153846153846154	0.923076923076923	0.16973913043478261	0.8302608695652174
Q16288_WT	Mean	-		0.37849124192982664	0.8681298748412842	0.6354849112240416	0.9713650793650792	0.29960474308300394	0.8845076542313759	0.6520451770451771	0.9258037921077543	0.2070923144488362	0.7929076855511636
Q16288_WT	SD	-		0.07398180185705025	0.012419990064190825	0.03997624843223844	0.007468530883428895	0.08301649945950981	0.013146255222453525	0.06436188993235133	0.006697604590910339	0.026956643381613243	0.026956643381613216
Q16288_WT	Test set	48:70		0.22620696417943204	0.6271186440677966	0.5416666666666666	1.0	0.08333333333333333	0.6140350877192983	1.0	0.7608695652173912	0.24434523809523812	0.755654761904762
Q15831_WT		1:6	Not enough data in minority class of the training set for all 5 folds										
Q15831_WT	Fold 1	1:9		-0.1111111111111111	0.8	0.4444444444444444	0.8888888888888888	0.0	0.8888888888888888	0.0	0.8888888888888888	0.1111111111111111	0.8888888888888888
Q15831_WT	Fold 2	1:9		0.0	0.9	0.5	1.0	0.0	0.9	0.0	0.9473684210526316	0.0	1.0
Q15831_WT	Fold 3	1:9		0.0	0.9	0.5	1.0	0.0	0.9	0.0	0.9473684210526316	0.2222222222222222	0.7777777777777778
Q15831_WT	Fold 4	2:8		0.0	0.8	0.5	1.0	0.0	0.8	0.0	0.888888888888889	0.375	0.625
Q15831_WT	Fold 5	2:8		0.6666666666666666	0.9	0.75	1.0	0.5	0.8888888888888888	1.0	0.9411764705882353	0.3125	0.6875
Q15831_WT	Mean	-		0.11111111111111112	0.8600000000000001	0.538888888888889	0.9777777777777779	0.1	0.8755555555555556	0.2	0.9227382180942552	0.20416666666666666	0.7958333333333333
Q15831_WT	SD	-		0.25660011963983365	0.04472135954999579	0.09834013368408707	0.04057204129667899	0.18257418583505536	0.03478327964999671	0.3651483716701107	0.025314084109706998	0.1235512755720201	0.1235512755720201
Q15831_WT	Test set	1:6		0.0	0.8571428571428571	0.5	1.0	0.0	0.8571428571428571	0.0	0.923076923076923	0.0	1.0
Q15759_WT	Fold 1	8:28		0.3223291856101521	0.8055555555555556	0.6071428571428572	0.9642857142857143	0.25	0.8181818181818182	0.6666666666666666	0.8852459016393442	0.11607142857142858	0.8839285714285715
Q15759_WT	Fold 2	9:27		0.5267865840075201	0.8333333333333334	0.7407407407407407	0.9259259259259259	0.5555555555555556	0.8620689655172413	0.7142857142857143	0.8928571428571429	0.19753086419753085	0.8024691358024691
